iter	Passed	Remaining
0	141	141469
1	142	70925
2	142	47393
3	143	35625
4	143	28581
5	144	23872
6	144	20505
7	145	17983
8	145	16016
9	145	14441
10	146	13156
11	146	12090
12	147	11183
13	147	10405
14	148	9730
15	148	9138
16	149	8617
17	149	8154
18	149	7738
19	150	7363
20	150	7025
21	151	6718
22	151	6436
23	151	6178
24	152	5942
25	152	5724
26	153	5521
27	153	5332
28	154	5157
29	154	4992
30	154	4839
31	155	4695
32	155	4560
33	156	4433
34	156	4317
35	156	4203
36	157	4096
37	157	3994
38	158	3898
39	158	3806
40	159	3719
41	159	3637
42	159	3558
43	160	3482
44	160	3410
45	161	3341
46	161	3275
47	161	3212
48	162	3151
49	162	3093
50	163	3037
51	163	2983
52	164	2931
53	164	2880
54	164	2832
55	165	2787
56	165	2744
57	166	2700
58	166	2658
59	167	2617
60	167	2578
61	167	2540
62	168	2503
63	168	2471
64	169	2436
65	169	2403
66	170	2370
67	170	2335
68	170	2304
69	171	2275
70	171	2245
71	172	2217
72	172	2189
73	172	2162
74	173	2136
75	173	2110
76	174	2086
77	174	2062
78	174	2038
79	175	2015
80	175	1993
81	176	1971
82	176	1949
83	176	1929
84	177	1907
85	177	1887
86	177	1866
87	178	1847
88	178	1829
89	179	1811
90	179	1793
91	179	1776
92	180	1759
93	180	1742
94	181	1725
95	181	1709
96	181	1693
97	182	1678
98	182	1663
99	183	1648
100	183	1633
101	183	1617
102	184	1603
103	184	1589
104	184	1576
105	185	1563
106	185	1550
107	186	1537
108	186	1524
109	186	1512
110	187	1500
111	187	1488
112	188	1476
113	188	1464
114	188	1453
115	189	1441
116	189	1430
117	189	1420
118	190	1408
119	190	1398
120	191	1388
121	191	1378
122	191	1366
123	192	1356
124	192	1348
125	193	1339
126	193	1329
127	193	1319
128	194	1311
129	194	1302
130	195	1293
131	195	1285
132	195	1277
133	196	1268
134	196	1260
135	197	1252
136	199	1253
137	199	1245
138	199	1238
139	200	1230
140	200	1223
141	201	1216
142	201	1209
143	202	1201
144	202	1194
145	203	1187
146	203	1180
147	203	1173
148	204	1166
149	204	1159
150	205	1153
151	205	1146
152	205	1139
153	206	1133
154	206	1126
155	207	1120
156	207	1114
157	207	1107
158	208	1101
159	208	1095
160	209	1089
161	209	1083
162	209	1078
163	210	1072
164	210	1066
165	211	1061
166	211	1056
167	212	1051
168	212	1046
169	213	1041
170	213	1036
171	214	1030
172	214	1025
173	215	1020
174	215	1016
175	215	1011
176	216	1006
177	217	1002
178	217	997
179	217	992
180	218	987
181	218	982
182	218	977
183	219	972
184	219	968
185	220	963
186	220	959
187	221	955
188	221	951
189	222	947
190	222	942
191	223	938
192	223	934
193	223	929
194	224	925
195	224	921
196	225	917
197	225	913
198	225	909
199	226	905
200	226	901
201	227	897
202	227	893
203	227	889
204	228	885
205	228	881
206	229	878
207	229	874
208	230	870
209	230	866
210	230	863
211	231	859
212	231	856
213	232	852
214	232	848
215	232	845
216	233	842
217	233	838
218	234	835
219	234	832
220	235	828
221	235	825
222	235	821
223	236	818
224	236	815
225	237	811
226	237	808
227	237	805
228	238	802
229	238	798
